Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T4;327.744
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T3;297.498
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T2;300.089
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2021T1;279.732
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T4;299.307
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T3;282.149
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T2;251.187
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2020T1;289.305
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T4;324.228
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T3;305.611
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T2;315.507
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2019T1;299.029
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T4;314.974
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T3;296.887
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T2;304.836
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2018T1;286.562
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T4;303.707
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T3;287.429
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T2;294.157
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2017T1;276.574
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T4;290.415
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T3;275.793
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T2;281.788
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2016T1;265.844
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T4;281.850
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T3;266.375
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T2;272.132
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2015T1;257.233
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2014T4;268.448
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2014T3;254.780
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2014T2;260.733
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2014T1;248.197
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2013T4;263.075
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2013T3;251.199
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2013T2;259.228
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2013T1;246.846
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2012T4;262.919
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2012T3;253.340
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2012T2;262.527
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2012T1;252.313
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2011T4;273.070
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2011T3;259.493
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2011T2;272.481
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2011T1;258.719
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2010T4;279.971
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2010T3;261.706
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2010T2;273.434
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2010T1;257.598
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2009T4;278.420
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2009T3;260.550
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2009T2;272.044
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2009T1;258.309
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2008T4;286.664
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2008T3;269.860
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2008T2;285.050
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2008T1;267.967
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2007T4;285.566
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2007T3;260.915
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2007T2;272.717
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2007T1;256.341
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2006T4;266.246
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2006T3;245.044
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2006T2;254.165
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2006T1;238.368
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2005T4;245.907
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2005T3;226.691
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2005T2;235.008
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Dato base;2005T1;219.751
